BUSINESS_IMPACT_THEME,INCIDENT_NUMBER,SHORT_DESCRIPTION,ASSIGNMENT_GROUP,OPENED_AT,CLOSED_AT,CLOSE_CODE,CLOSE_NOTES,VALUE_STREAM,PRIMARY_SYSTEM,PATTERN_ID,ROOT_CAUSE_ID,RESOLUTION_TYPE,LINKED_INCIDENT,RECURRING_FLAG,DATA_ORIGIN,EBS_MODULE,OPENED_BY,ASSIGNED_TO,PRIORITY,IMPACT,URGENCY,STATE,SLA_DUE,INVOICE_AMOUNT,CURRENCY,COUNTERPARTY,COUNTERPARTY_TYPE,COUNTERPARTY_TIER,FINANCIAL_BAND,BUSINESS_FLAGS
Order progression / holds,INC1107865,"Order 140561 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-04-14 09:00:00,2025-05-14 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,QTD,EBS,PAT-HOLD,RCA-04,Manual workaround,,N,SYNTHETIC,ONT,Kenji Watanabe,Vikram Raju,P3,Medium,Medium,In Progress,2025-04-15 09:00:00,,,,,,,
Integration failure,INC1108070,Delivery 2736674 not transmitting from EBS to BluJay,Oracle-EBS-Alice-OSA-PTM,2025-10-16 09:00:00,2025-11-01 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,PTM,EBS,PAT-BLUJAY,RCA-06,Manual workaround,,N,SYNTHETIC,INV,Amanpreet Kaur,Wei Zhang,P3,Medium,Medium,On Hold,2025-10-17 09:00:00,,,,,,,
Integration failure,INC1108095,Delivery 2719361 not transmitting from EBS to BluJay,Oracle-EBS-Alice-OSA-PTM,2025-08-13 09:00:00,2025-09-11 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,PTM,EBS,PAT-BLUJAY,RCA-06,Data fix,,N,SYNTHETIC,INV,Liam Donovan,Anil Kapoor,P4,Low,Low,New,2025-08-16 09:00:00,,,,,,,
Data corruption / order cancellation,INC1108148,Order 146728 data corruption: PO not unlinked after DropShip cancellation,OMCS-ERP-Alice-QTD,2025-01-21 09:00:00,2025-02-14 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,QTD,EBS,PAT-DROPSHIP,RCA-12,Change/Code,,N,SYNTHETIC,ONT,Fatima Noor,Vikram Raju,P3,Medium,Medium,In Progress,2025-01-22 09:00:00,,,,,,,
CCB processing issue,INC1108374,CCB report error for CO-1106590: old revision higher than new revision,Oracle-Alice-Item-MDM,2025-05-09 09:00:00,2025-06-27 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,Item-MDM,ITEM_MDM,PAT-CCB-REV,RCA-03,User guidance,INC849692,Y,SYNTHETIC,INV,Liam Donovan,Meet Meghani,P2,Medium,High,In Progress,2025-05-09 17:00:00,,,,,,,Recurring issue
CCO creation inconsistency,INC1108395,"CCO-96026 created under CO-1170702 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-04-20 09:00:00,2025-05-05 09:00:00,Configuration,Issue resolved via configuration change. User validated and confirmed.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Config fix,INC832411,Y,SYNTHETIC,INV,Liam Donovan,Greta Hoffmann,P2,Medium,High,On Hold,2025-04-20 17:00:00,,,,,,,Recurring issue
Order progression / holds,INC1108773,"Order 203920 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-10-04 09:00:00,2025-11-25 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,QTD,EBS,PAT-HOLD,RCA-04,User guidance,,N,SYNTHETIC,ONT,Racquel Tan,Wei Zhang,P4,Low,Low,In Progress,2025-10-07 09:00:00,,,,,,,
CCB processing issue,INC1109137,CCB report error for CO-1175849: old revision higher than new revision,Oracle-Alice-Item-MDM,2025-10-27 09:00:00,2025-11-21 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,Item-MDM,ITEM_MDM,PAT-CCB-REV,RCA-03,Manual workaround,,N,SYNTHETIC,INV,Tomas Novak,Meet Meghani,P3,Medium,Medium,On Hold,2025-10-28 09:00:00,,,,,,,
Order progression / holds,INC1109183,"Order 208697 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-06-17 09:00:00,2025-07-21 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,QTD,EBS,PAT-HOLD,RCA-04,Change/Code,,N,SYNTHETIC,ONT,Racquel Tan,Vikram Raju,P4,Low,Low,In Progress,2025-06-20 09:00:00,,,,,,,
Integration failure,INC1109527,Delivery 2489890 not transmitting from EBS to BluJay,Oracle-EBS-Alice-OSA-PTM,2025-09-09 09:00:00,2025-10-20 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,PTM,EBS,PAT-BLUJAY,RCA-06,Functional config,,N,SYNTHETIC,INV,Kenji Watanabe,Wei Zhang,P4,Low,Low,In Progress,2025-09-12 09:00:00,,,,,,,
Planning system issue,INC1109829,Hard pegging issue for item 10077577 in Test and Production,Oracle-EBS-Alice-PTM,2025-08-20 09:00:00,2025-09-22 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,PTM,EBS,PAT-PEG,RCA-09,User guidance,INC831963,Y,SYNTHETIC,INV,Diego Alvarez,Anil Kapoor,P2,Medium,High,On Hold,2025-08-20 17:00:00,,,,,,,Recurring issue
CPQ/EBS submission failure,INC1110199,CPQ-927802 unable to submit order due to error,Oracle-EBS-Alice-QTD,2025-10-09 09:00:00,2025-11-18 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,QTD,EBS,PAT-CPQ,RCA-07,User guidance,,N,SYNTHETIC,ONT,Diego Alvarez,Vikram Raju,P3,Medium,Medium,In Progress,2025-10-10 09:00:00,,,,,,,
Revision sync issue,INC1110257,Item 10078341P1 revision mismatch: PD shows A but EBS shows 00 after CO-1111221 not interfaced,Oracle-Alice-Item-MDM,2025-01-10 09:00:00,2025-02-08 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,Manual workaround,INC858743,Y,SYNTHETIC,INV,Melanie Cruz,Greta Hoffmann,P2,Medium,High,On Hold,2025-01-10 17:00:00,,,,,,,Recurring issue
CPQ/EBS submission failure,INC1110448,CPQ-972544 unable to submit order due to error,Oracle-EBS-Alice-QTD,2025-06-23 09:00:00,2025-07-15 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,QTD,EBS,PAT-CPQ,RCA-07,Functional config,INC872140,Y,SYNTHETIC,ONT,Fatima Noor,Wei Zhang,P2,Medium,High,New,2025-06-23 17:00:00,,,,,,,Recurring issue
Receiving transaction stuck,INC1110600,"Receiving issue DN 2465438: stuck in RCV_INTERFACE, quantity shows 0",OMCS-ERP-Alice-PTM,2025-08-24 09:00:00,2025-09-19 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,PTM,EBS,PAT-RCV,RCA-05,Data fix,,N,SYNTHETIC,INV,Tomas Novak,Wei Zhang,P3,Medium,Medium,On Hold,2025-08-25 09:00:00,,,,,,,
Planning system issue,INC1110634,Hard pegging issue for item 10073978P1 in Test and Production,Oracle-EBS-Alice-PTM,2025-05-02 09:00:00,2025-06-18 09:00:00,Configuration,Issue resolved via configuration change. User validated and confirmed.,PTM,EBS,PAT-PEG,RCA-09,Config fix,INC816591,Y,SYNTHETIC,INV,Melanie Cruz,Wei Zhang,P2,Medium,High,On Hold,2025-05-02 17:00:00,,,,,,,Recurring issue
Receiving transaction stuck,INC1110774,"Receiving issue DN 2600974: stuck in RCV_INTERFACE, quantity shows 0",OMCS-ERP-Alice-PTM,2025-01-16 09:00:00,2025-02-04 09:00:00,Functional Configuration,Functional setup corrected. User able to proceed.,PTM,EBS,PAT-RCV,RCA-05,Functional config,,N,SYNTHETIC,INV,Grace Mwangi,Anil Kapoor,P3,Medium,Medium,On Hold,2025-01-17 09:00:00,,,,,,,
CCO creation inconsistency,INC1110845,"CCO-96295 created under CO-1109710 but no revised items fetched, CCB report error",Oracle-Alice-Item-MDM,2025-04-18 09:00:00,2025-05-25 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Change/Code,INC811164,Y,SYNTHETIC,INV,Liam Donovan,Meet Meghani,P2,Medium,High,In Progress,2025-04-18 17:00:00,,,,,,,Recurring issue
CPQ/EBS submission failure,INC1111173,CPQ-959049 unable to submit order due to error,Oracle-EBS-Alice-QTD,2025-10-02 09:00:00,2025-11-20 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,QTD,EBS,PAT-CPQ,RCA-07,Change/Code,INC840026,Y,SYNTHETIC,ONT,Fatima Noor,Wei Zhang,P2,Medium,High,On Hold,2025-10-02 17:00:00,,,,,,,Recurring issue
Revenue recognition issue,INC1111185,"Obligation error for Project 212573 SO 5031439, cannot recognize revenue",Oracle-EBS-Alice-PTC,2025-03-14 09:00:00,2025-04-15 09:00:00,Data Fix,Records stuck in interface table. Data fix applied to clear and reprocess.,PTC,EBS,PAT-OBLIG,RCA-13,Data fix,,N,SYNTHETIC,AR,James Whitfield,Ravi Menon,P4,Low,Low,On Hold,2025-03-17 09:00:00,,,,,,,
Revenue recognition issue,INC1111516,"Obligation error for Project 217438 SO 5009329, cannot recognize revenue",Oracle-EBS-Alice-PTC,2025-05-19 09:00:00,2025-06-22 09:00:00,Known issue - no workaround,Known issue. Holds removed to allow progression.,PTC,EBS,PAT-OBLIG,RCA-13,Manual workaround,,N,SYNTHETIC,AR,Fatima Noor,James Whitfield,P4,Low,Low,In Progress,2025-05-22 09:00:00,,,,,,,
Order progression / holds,INC1111831,"Order 214886 lines on Autocreate Config Exception hold, cannot progress",OMCS-ERP-Alice-QTD,2025-05-24 09:00:00,2025-06-27 09:00:00,Configuration,Issue resolved via configuration change. User validated and confirmed.,QTD,EBS,PAT-HOLD,RCA-04,Config fix,,N,SYNTHETIC,ONT,Amanpreet Kaur,Vikram Raju,P3,Medium,Medium,On Hold,2025-05-25 09:00:00,,,,,,,
Warehouse/plant sync issue,INC1112148,Unable to change plant on order 169857 due to validation error,OMCS-ERP-Alice-QTD,2025-02-02 09:00:00,2025-03-14 09:00:00,Change related,Fix deployed to production via change. Please confirm closure.,QTD,EBS,PAT-PLANT,RCA-10,Change/Code,,N,SYNTHETIC,ONT,Kenji Watanabe,Vikram Raju,P3,Medium,Medium,On Hold,2025-02-03 09:00:00,,,,,,,
Revenue recognition issue,INC1112399,"Obligation error for Project 210339 SO 5088117, cannot recognize revenue",Oracle-EBS-Alice-PTC,2025-03-17 09:00:00,2025-04-21 09:00:00,User/Training Issue,Root cause explained to user. Correct procedure provided.,PTC,EBS,PAT-OBLIG,RCA-13,User guidance,,N,SYNTHETIC,AR,James Whitfield,Ravi Menon,P3,Medium,Medium,In Progress,2025-03-18 09:00:00,,,,,,,
AR invoice interface error,INC1120063,"AR AutoInvoice rejection for Brightline Logistics invoice VTV-2443687 ($592,665): Duplicate transaction number in interface",Oracle-EBS-Alice-PTC,2025-02-22 09:00:00,2025-03-04 09:00:00,Functional Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,,N,SYNTHETIC,AR,Melanie Cruz,Ravi Menon,P1,High,High,On Hold,2025-02-22 13:00:00,592664.81,USD,Brightline Logistics,Customer,Standard,Critical,High-value invoice
AR invoice interface error,INC1120106,"AR AutoInvoice rejection for Brightline Logistics invoice VTV-2442372 ($706,783): No Revenue Account found for batch source",Oracle-EBS-Alice-PTC,2025-08-25 09:00:00,2025-09-13 09:00:00,Data Fix,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Data fix,,N,SYNTHETIC,AR,Liam Donovan,Ravi Menon,P1,High,High,On Hold,2025-08-25 13:00:00,706783.02,USD,Brightline Logistics,Customer,Standard,Critical,High-value invoice
AR invoice interface error,INC1120187,"AR AutoInvoice rejection for Orion Health Systems invoice VTV-2417172 ($194,057): Duplicate transaction number in interface",Oracle-EBS-Alice-PTC,2025-01-15 09:00:00,2025-02-23 09:00:00,Functional Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,,N,SYNTHETIC,AR,James Whitfield,Ravi Menon,P4,Low,Low,In Progress,2025-01-18 09:00:00,194056.67,USD,Orion Health Systems,Customer,Standard,Medium,
AR invoice interface error,INC1120305,"AR AutoInvoice rejection for Pioneer University invoice VTV-2414871 ($48,962): Invalid memo line / inventory item",Oracle-EBS-Alice-PTC,2025-07-04 09:00:00,2025-08-21 09:00:00,Functional Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,,N,SYNTHETIC,AR,James Whitfield,James Whitfield,P3,Medium,Medium,In Progress,2025-07-05 09:00:00,48962.26,USD,Pioneer University,Customer,Standard,Low,
AR invoice interface error,INC1120365,"AR AutoInvoice rejection for Granite Manufacturing invoice VTV-2424983 ($171,408): GL period not open for the accounting date",Oracle-EBS-Alice-PTC,2025-08-17 09:00:00,2025-09-24 09:00:00,Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,,N,SYNTHETIC,AR,Diego Alvarez,Ravi Menon,P3,Medium,Medium,In Progress,2025-08-18 09:00:00,171407.88,USD,Granite Manufacturing,Customer,Standard,Medium,
AR invoice interface error,INC1120450,"AR AutoInvoice rejection for Orion Health Systems invoice VTV-2486499 ($23,693): Invalid tax rate code for ship-to site",Oracle-EBS-Alice-PTC,2025-05-05 09:00:00,2025-06-15 09:00:00,Functional Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,INC870592,Y,SYNTHETIC,AR,Liam Donovan,James Whitfield,P2,Medium,High,In Progress,2025-05-05 17:00:00,23693.14,USD,Orion Health Systems,Customer,Standard,Low,Recurring issue
AR invoice interface error,INC1120570,"AR AutoInvoice rejection for Granite Manufacturing invoice VTV-2453841 ($46,958): GL period not open for the accounting date",Oracle-EBS-Alice-PTC,2025-10-11 09:00:00,2025-11-24 09:00:00,Data Fix,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Data fix,,N,SYNTHETIC,AR,Mark Olsen,Ravi Menon,P4,Low,Low,In Progress,2025-10-14 09:00:00,46958.00,USD,Granite Manufacturing,Customer,Standard,Low,
AR invoice interface error,INC1120637,"AR AutoInvoice rejection for Meridian Telecom invoice VTV-2413069 ($551,146): Invalid tax rate code for ship-to site",Oracle-EBS-Alice-PTC,2025-02-15 09:00:00,2025-03-01 09:00:00,Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,INC818894,Y,SYNTHETIC,AR,Kenji Watanabe,Ravi Menon,P1,High,High,On Hold,2025-02-15 13:00:00,551145.58,USD,Meridian Telecom,Customer,Strategic,Critical,High-value invoice;Strategic customer;Recurring issue
AR invoice interface error,INC1120757,"AR AutoInvoice rejection for Brightline Logistics invoice VTV-2469942 ($138,305): No Revenue Account found for batch source",Oracle-EBS-Alice-PTC,2025-06-11 09:00:00,2025-07-21 09:00:00,Functional Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,INC863956,Y,SYNTHETIC,AR,Grace Mwangi,James Whitfield,P2,Medium,High,On Hold,2025-06-11 17:00:00,138305.01,USD,Brightline Logistics,Customer,Standard,Medium,Quarter-close risk;Recurring issue
AR invoice interface error,INC1120865,"AR AutoInvoice rejection for Summit Data Centers invoice VTV-2483066 ($798,713): No Revenue Account found for batch source",Oracle-EBS-Alice-PTC,2025-07-04 09:00:00,2025-08-15 09:00:00,Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,INC821805,Y,SYNTHETIC,AR,Amanpreet Kaur,James Whitfield,P1,High,High,In Progress,2025-07-04 13:00:00,798712.96,USD,Summit Data Centers,Customer,High-Value,Critical,High-value invoice;Strategic customer;Recurring issue
AR invoice interface error,INC1120963,"AR AutoInvoice rejection for Helios Financial Group invoice VTV-2423600 ($48,788): GL period not open for the accounting date",Oracle-EBS-Alice-PTC,2025-09-06 09:00:00,2025-10-03 09:00:00,Data Fix,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Data fix,,N,SYNTHETIC,AR,Fatima Noor,James Whitfield,P2,Medium,High,In Progress,2025-09-06 17:00:00,48787.89,USD,Helios Financial Group,Customer,High-Value,Low,Strategic customer;Quarter-close risk
AR invoice interface error,INC1121076,"AR AutoInvoice rejection for Brightline Logistics invoice VTV-2460981 ($111,486): Duplicate transaction number in interface",Oracle-EBS-Alice-PTC,2025-05-22 09:00:00,2025-06-18 09:00:00,Functional Configuration,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Functional config,INC820706,Y,SYNTHETIC,AR,Mark Olsen,Ravi Menon,P2,Medium,High,In Progress,2025-05-22 17:00:00,111485.90,USD,Brightline Logistics,Customer,Standard,Medium,Recurring issue
AR invoice interface error,INC1121196,"AR AutoInvoice rejection for Pioneer University invoice VTV-2463335 ($291,646): Invalid tax rate code for ship-to site",Oracle-EBS-Alice-PTC,2025-04-08 09:00:00,2025-05-13 09:00:00,Data Fix,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Data fix,INC874963,Y,SYNTHETIC,AR,Racquel Tan,James Whitfield,P2,Medium,High,On Hold,2025-04-08 17:00:00,291646.40,USD,Pioneer University,Customer,Standard,High,High-value invoice;Recurring issue
AR invoice interface error,INC1121313,"AR AutoInvoice rejection for Atlas Colocation invoice VTV-2437512 ($437,240): No Revenue Account found for batch source",Oracle-EBS-Alice-PTC,2025-10-20 09:00:00,2025-11-26 09:00:00,Data Fix,AutoInvoice rejection cleared; invoice imported after correction.,PTC,EBS,PAT-AR-AUTOINV,RCA-AR1,Data fix,INC846179,Y,SYNTHETIC,AR,Fatima Noor,Ravi Menon,P1,High,High,On Hold,2025-10-20 13:00:00,437240.19,USD,Atlas Colocation,Customer,Strategic,High,High-value invoice;Strategic customer;Recurring issue
AP invoice interface error,INC1140104,"AP invoice AP-717224 from CapaciTech Components ($324,885) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-01-11 09:00:00,2025-02-24 09:00:00,Configuration,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Config fix,,N,SYNTHETIC,AP,Melanie Cruz,Anil Kapoor,P2,Medium,High,In Progress,2025-01-11 17:00:00,324884.96,USD,CapaciTech Components,Supplier,Critical-Component,High,High-value invoice;Critical component supplier
AP invoice interface error,INC1140221,"AP invoice AP-721567 from CapaciTech Components ($294,493) failed import: No matching purchase order line",Oracle-EBS-Alice-PTP,2025-09-26 09:00:00,2025-10-10 09:00:00,Configuration,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP1,Config fix,INC844396,Y,SYNTHETIC,AP,James Whitfield,Anil Kapoor,P2,Medium,High,New,2025-09-26 17:00:00,294493.33,USD,CapaciTech Components,Supplier,Critical-Component,High,High-value invoice;Critical component supplier;Quarter-close risk;Recurring issue
AP invoice interface error,INC1140333,"AP invoice AP-751717 from Apex Fasteners ($881,575) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-09-18 09:00:00,2025-10-04 09:00:00,Configuration,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Config fix,,N,SYNTHETIC,AP,Fatima Noor,James Whitfield,P1,High,High,In Progress,2025-09-18 13:00:00,881575.12,USD,Apex Fasteners,Supplier,Approved,Critical,High-value invoice;Quarter-close risk
AP invoice interface error,INC1140404,"AP invoice AP-703280 from CircuitForm PCB ($671,508) failed import: Supplier site has no tax registration",Oracle-EBS-Alice-PTP,2025-02-11 09:00:00,2025-03-20 09:00:00,Known issue - no workaround,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Config fix,INC829015,Y,SYNTHETIC,AP,Melanie Cruz,James Whitfield,P1,High,High,In Progress,2025-02-11 13:00:00,671508.05,USD,CircuitForm PCB,Supplier,Strategic,Critical,High-value invoice;Strategic customer;Single-source supplier;Recurring issue
AP invoice interface error,INC1140419,"AP invoice AP-739893 from Volt Semiconductors ($735,592) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-02-04 09:00:00,2025-03-08 09:00:00,Data Fix,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Data fix,,N,SYNTHETIC,AP,Diego Alvarez,James Whitfield,P1,High,High,In Progress,2025-02-04 13:00:00,735592.44,USD,Volt Semiconductors,Supplier,Critical-Component,Critical,High-value invoice;Critical component supplier;Single-source supplier
AP invoice interface error,INC1140523,"AP invoice AP-720253 from CapaciTech Components ($872,159) failed import: No matching purchase order line",Oracle-EBS-Alice-PTP,2025-07-04 09:00:00,2025-08-27 09:00:00,Known issue - no workaround,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP1,Config fix,,N,SYNTHETIC,AP,Racquel Tan,Anil Kapoor,P1,High,High,In Progress,2025-07-04 13:00:00,872159.42,USD,CapaciTech Components,Supplier,Critical-Component,Critical,High-value invoice;Critical component supplier
AP invoice interface error,INC1140643,"AP invoice AP-747537 from SteelForm Enclosures ($66,221) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-08-12 09:00:00,2025-09-18 09:00:00,Known issue - no workaround,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Config fix,INC884518,Y,SYNTHETIC,AP,Diego Alvarez,James Whitfield,P2,Medium,High,In Progress,2025-08-12 17:00:00,66221.29,USD,SteelForm Enclosures,Supplier,Approved,Medium,Recurring issue
AP invoice interface error,INC1140735,"AP invoice AP-778269 from Cellcore Battery Systems ($139,350) failed import: PO quantity received less than billed",Oracle-EBS-Alice-PTP,2025-11-26 09:00:00,2025-12-11 09:00:00,Data Fix,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP1,Data fix,,N,SYNTHETIC,AP,Melanie Cruz,Anil Kapoor,P2,Medium,High,In Progress,2025-11-26 17:00:00,139350.23,USD,Cellcore Battery Systems,Supplier,Critical-Component,Medium,Critical component supplier;Single-source supplier
AP invoice interface error,INC1140775,"AP invoice AP-743064 from CapaciTech Components ($806,400) failed import: Unit price exceeds PO price tolerance",Oracle-EBS-Alice-PTP,2025-10-01 09:00:00,2025-11-09 09:00:00,Known issue - no workaround,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-HOLD,RCA-AP2,Config fix,,N,SYNTHETIC,AP,Racquel Tan,Anil Kapoor,P1,High,High,In Progress,2025-10-01 13:00:00,806399.81,USD,CapaciTech Components,Supplier,Critical-Component,Critical,High-value invoice;Critical component supplier
AP invoice interface error,INC1140886,"AP invoice AP-731186 from CapaciTech Components ($41,493) failed import: Unit price exceeds PO price tolerance",Oracle-EBS-Alice-PTP,2025-01-01 09:00:00,2025-02-06 09:00:00,Configuration,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-HOLD,RCA-AP2,Config fix,,N,SYNTHETIC,AP,Tomas Novak,Anil Kapoor,P2,Medium,High,New,2025-01-01 17:00:00,41493.36,USD,CapaciTech Components,Supplier,Critical-Component,Low,Critical component supplier
AP invoice interface error,INC1140962,"AP invoice AP-777812 from Cellcore Battery Systems ($15,859) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-08-17 09:00:00,2025-09-08 09:00:00,Configuration,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Config fix,INC880623,Y,SYNTHETIC,AP,James Whitfield,James Whitfield,P2,Medium,High,In Progress,2025-08-17 17:00:00,15859.03,USD,Cellcore Battery Systems,Supplier,Critical-Component,Low,Critical component supplier;Single-source supplier;Recurring issue
AP invoice interface error,INC1141035,"AP invoice AP-758138 from Lumen Wire and Cable ($257,269) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-07-11 09:00:00,2025-08-20 09:00:00,Data Fix,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Data fix,INC819442,Y,SYNTHETIC,AP,Kenji Watanabe,James Whitfield,P2,Medium,High,On Hold,2025-07-11 17:00:00,257268.58,USD,Lumen Wire and Cable,Supplier,Approved,High,High-value invoice;Recurring issue
AP invoice interface error,INC1141104,"AP invoice AP-766263 from CapaciTech Components ($254,600) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-10-04 09:00:00,2025-11-26 09:00:00,Configuration,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Config fix,,N,SYNTHETIC,AP,Kenji Watanabe,James Whitfield,P2,Medium,High,In Progress,2025-10-04 17:00:00,254599.95,USD,CapaciTech Components,Supplier,Critical-Component,High,High-value invoice;Critical component supplier
AP invoice interface error,INC1141166,"AP invoice AP-754524 from Lumen Wire and Cable ($52,692) failed import: Distribution account combination invalid",Oracle-EBS-Alice-PTP,2025-06-14 09:00:00,2025-07-11 09:00:00,Configuration,Payables Open Interface rejection resolved; invoice validated.,PTP,EBS,PAT-AP-IMPORT,RCA-AP3,Config fix,INC887177,Y,SYNTHETIC,AP,Racquel Tan,Anil Kapoor,P2,Medium,High,New,2025-06-14 17:00:00,52692.07,USD,Lumen Wire and Cable,Supplier,Approved,Medium,Quarter-close risk;Recurring issue
